url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=G42RJ4mKj1k,"6,334,098 views","Jul 29, 2020",149K,6.3K
https://www.youtube.com/watch?v=j7T6__UbhBI,"930,554 views","Jul 31, 2020",29K,1.4K
https://www.youtube.com/watch?v=3qHkcs3kG44,"3,714,967 views","Jun 4, 2019",83K,2.4K
https://www.youtube.com/watch?v=6adKh-LYk3s,"1,439,490 views","Jul 30, 2020",19K,2.1K
https://www.youtube.com/watch?v=GUUnJsiQxdU,"3,977,890 views","Jul 30, 2020",357K,4.9K
https://www.youtube.com/watch?v=XqZsoesa55w,"6,152,919,321 views","Jun 17, 2016",19M,8.6M
https://www.youtube.com/watch?v=j8z7UjET1Is,"1,637,075,393 views","May 12, 2018",4M,2.4M
https://www.youtube.com/watch?v=020g-0hhCAU,"1,408,105,382 views","Nov 21, 2017",3M,2M
https://www.youtube.com/watch?v=Wbk4gZz2weQ,"133,349,809 views","Nov 22, 2019",435K,266K
https://www.youtube.com/watch?v=dvwF6BfHUmo,"43,369,819 views","Dec 29, 2019",LIKE,DISLIKE
https://www.youtube.com/watch?v=9IHwqdz8Xhw,"85,678,160 views","Premiered Jun 26, 2020",8.1M,227K
https://www.youtube.com/watch?v=XsX3ATc3FbA,"872,115,653 views","Apr 12, 2019",16M,976K
https://www.youtube.com/watch?v=MBdVXkSdhwU,"1,047,938,978 views","Sep 18, 2017",15M,788K
https://www.youtube.com/watch?v=7C2z4GqqS5E,"740,330,595 views","May 18, 2018",12M,506K
https://www.youtube.com/watch?v=hmE9f-TEutc,"609,503,834 views","Oct 9, 2016",8.6M,211K
https://www.youtube.com/watch?v=gwMa6gpoE9I,"226,221,749 views","Premiered Feb 21, 2020",9.4M,272K
https://www.youtube.com/watch?v=DPSvFf9qcAs,"1,396,078 views","Jul 30, 2020",55K,588
https://www.youtube.com/watch?v=mxh3r5WrwEE,"1,596,824 views","Jul 28, 2020",62K,826
https://www.youtube.com/watch?v=S0JGM4Jt11g,"1,736,523 views","Jul 26, 2020",65K,830
https://www.youtube.com/watch?v=Xiqtm_TSx34,"1,678,384 views","Premiered Jul 11, 2020",86K,1.2K
https://www.youtube.com/watch?v=S-kb-XV8wMI,"1,657,391 views","Jul 23, 2020",68K,1.3K
https://www.youtube.com/watch?v=pPHm3dirrVE,"2,401,960 views","Jul 25, 2020",82K,847
https://www.youtube.com/watch?v=WENb6lBQkJU,"5,043,556 views","Jun 21, 2020",239K,2.6K
https://www.youtube.com/watch?v=WUfnQPoJbSc,"19,343,150 views","Sep 23, 2013",159K,11K
https://www.youtube.com/watch?v=_ZW-AZ2mNeA,"5,253,111 views","Aug 24, 2019",168K,2.4K
https://www.youtube.com/watch?v=_jJiTcubp5E,"911,334 views","Jun 27, 2020",16K,224
https://www.youtube.com/watch?v=UGRcJQ9tMbY,"8,433,038 views","Jan 26, 2019",117K,3K
https://www.youtube.com/watch?v=rTb3GR6yrQI,"5,775,582 views","Nov 17, 2018",104K,6.5K
https://www.youtube.com/watch?v=zGZNdc3QnJY,"1,426,068 views","Apr 26, 2020",13K,1.6K
https://www.youtube.com/watch?v=hDmTVUa6HOA,"110,072 views","Jul 31, 2020",6.3K,81
https://www.youtube.com/watch?v=ZrcfiXRB_u8,"247,270 views","Jul 30, 2020",12K,137
https://www.youtube.com/watch?v=aUw4b3LeudE,"2,425 views","Jul 31, 2020",81,1
https://www.youtube.com/watch?v=_nzmXI-BNkU,"552,967 views","Jul 27, 2020",25K,311
https://www.youtube.com/watch?v=pFDJWmotTqU,"471,191 views","Jul 24, 2020",22K,184
https://www.youtube.com/watch?v=_F7IW_K_3H8,"297,683 views","Jul 29, 2020",13K,104
https://www.youtube.com/watch?v=oSCSWVrcCtA,"804,957 views","Jul 31, 2020",9.3K,1.5K
https://www.youtube.com/watch?v=hnPIOfJjq8w,"108,378 views","Jul 31, 2020",2.4K,472
https://www.youtube.com/watch?v=fU3Jh_oZZE0,"1,691,543 views","Jul 28, 2020",24K,2.6K
https://www.youtube.com/watch?v=9MwZdQUaVTM,"529,021 views","Jul 30, 2020",6.6K,1.6K
https://www.youtube.com/watch?v=pGNehPhx8Jo,"988,922 views","Jul 30, 2020",13K,1.3K
https://www.youtube.com/watch?v=l58XSxWK8P4,"383,310 views","Jul 31, 2020",12K,649
https://www.youtube.com/watch?v=gjqMdtCnUlk,"238,309 views","Jul 31, 2020",7.2K,271
https://www.youtube.com/watch?v=qlbqaibkdsU,"106,697 views","Jul 31, 2020",5.3K,288
https://www.youtube.com/watch?v=w8vV8jmF-qc,"275,796 views","Jul 30, 2020",7.3K,385
https://www.youtube.com/watch?v=zPGs-o40xIU,"76,550 views","Jul 31, 2020",2K,145
https://www.youtube.com/watch?v=5qap5aO4i9A,"21,156 watching now","Started streaming on Feb 22, 2020",2M,42K
https://www.youtube.com/watch?v=DWcJFNfaw9c,"10,984 watching now","Started streaming on Feb 25, 2020",416K,6.5K
https://www.youtube.com/watch?v=qsdzdUYl5c0,"299,419 views","Jul 24, 2020",13K,72
https://www.youtube.com/watch?v=lTRiuFIWV54,"17,025,923 views","Premiered Dec 8, 2019",409K,3.3K
https://www.youtube.com/watch?v=-5KAN9_CzSA,"2,313 watching now","Started streaming on May 9, 2020",65K,872
https://www.youtube.com/watch?v=aYT0_5wUAs0,"3,567,606 views","Jul 30, 2020",290K,7.3K
